2026-01-27 12:30:37,124 | INFO | INGESTION | extract_cities.py | No hay mas ciudades. Extraccion completada con 6000 ciudades.
2026-01-27 12:30:37,125 | INFO | INGESTION | extract_cities.py | ==================================================
2026-01-27 12:32:21,156 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-27 12:32:24,090 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 1000)
2026-01-27 12:32:24,091 | INFO | INGESTION | save_data_minio.py | Creando Cliente Minio!
2026-01-27 12:32:24,099 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:32:24,137 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_01000.json Guardado Correctamente.
2026-01-27 12:32:27,468 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 2000)
2026-01-27 12:32:27,476 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:32:27,534 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_02000.json Guardado Correctamente.
2026-01-27 12:32:29,666 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 3000)
2026-01-27 12:32:29,669 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:32:29,715 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_03000.json Guardado Correctamente.
2026-01-27 12:32:31,878 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 4000)
2026-01-27 12:32:31,881 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:32:31,918 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_04000.json Guardado Correctamente.
2026-01-27 12:32:34,423 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 5000)
2026-01-27 12:32:34,428 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:32:34,467 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_05000.json Guardado Correctamente.
2026-01-27 12:32:36,260 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 6000)
2026-01-27 12:32:36,262 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:32:36,297 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_06000.json Guardado Correctamente.
2026-01-27 12:32:37,039 | INFO | INGESTION | extract_cities.py | No hay mas ciudades. Extraccion completada con 6000 ciudades.
2026-01-27 12:32:37,041 | INFO | INGESTION | extract_cities.py | ==================================================
